season,team,gp,toi_gp_ev,w,l,otl,row,points,point_percent,cf_60_ev,ca_60_ev,cf_percent_ev,gf_60_ev,ga_60_ev,gf_percent_ev,x_gf_60_ev,x_ga_60_ev,x_gf_percent_ev,sh_percent_ev,sv_percent_ev,pdo_ev,toi_gp_pp,cf_60_pp,ca_60_pp,cf_percent_pp,gf_60_pp,ga_60_pp,gf_percent_pp,x_gf_60_pp,x_ga_60_pp,x_gf_percent_pp,sh_percent_pp,sv_percent_pp,pdo_pp,toi_gp_pk,cf_60_pk,ca_60_pk,cf_percent_pk,gf_60_pk,ga_60_pk,gf_percent_pk,x_gf_60_pk,x_ga_60_pk,x_gf_percent_pk,sh_percent_pk,sv_percent_pk,pdo_pk
2013,Minnesota Wild,48,50:28:00,26,19,3,22,55,0.573,50.59,51.78,49.42,2.23,2.45,47.62,2.18,1.94,52.95,8.04,91.03,0.991,05:30:00,95.65,8.84,91.54,6.12,0,100,7.72,0.35,95.67,11.3,100,1.113,04:50:00,11.63,75.7,13.31,0.26,6.72,3.7,0.62,5.09,10.88,4.35,85.06,0.894
2013,Anaheim Ducks,48,50:55:00,30,12,6,24,66,0.688,51.25,55.76,47.89,2.45,1.96,55.56,2.26,2.29,49.68,9.17,92.71,1.019,04:33:00,98.62,14.25,87.38,7.94,1.37,85.29,7.28,0.78,90.28,14.01,83.87,0.979,05:40:00,16.28,91.74,15.07,1.1,6.6,14.29,1.1,6.08,15.27,10.2,85.71,0.959
2013,Vancouver Canucks,48,49:35:00,26,15,7,21,59,0.615,53.56,50.33,51.55,2.34,2.14,52.25,2.24,2.24,50.02,8.39,92.58,1.01,05:50:00,93.99,10.49,89.96,5.57,0.64,89.66,5.01,0.71,87.57,12.5,92.31,1.048,05:53:00,12.09,81.86,12.87,0.42,5.73,6.9,0.93,5.7,13.99,6.25,86.76,0.93
2013,Buffalo Sabres,48,49:37:00,21,21,6,14,48,0.5,49.21,59.97,45.07,2.22,2.39,48.09,2.09,2.6,44.57,8.09,92.62,1.007,05:45:00,86.79,14.75,85.47,4.99,1.52,76.67,5.68,0.85,86.98,10.7,86,0.967,05:59:00,10.45,101.53,9.33,1.46,7.73,15.91,0.46,7.28,5.98,19.44,86.14,1.056
2013,San Jose Sharks,48,50:54:00,25,16,7,17,57,0.594,59.35,56.62,51.18,1.94,2.11,47.88,2.48,2.13,53.73,6.43,92.51,0.989,05:36:00,112.83,17.39,86.64,7.58,0.89,89.47,7.73,1.24,86.2,12.59,92.59,1.052,04:54:00,9.42,95.68,8.96,0.76,5.6,12,0.55,6.28,8.07,11.54,88.3,0.998
2013,Calgary Flames,48,50:02:00,19,25,4,19,42,0.438,50.82,56.54,47.34,2.27,3.17,41.74,2.25,2.33,49.15,8.41,89.29,0.977,05:14:00,85.28,9.53,89.95,7.38,0.48,93.94,5.67,0.64,89.82,16.85,91.3,1.082,05:08:00,10.93,90.64,10.77,1.46,6.8,17.65,0.76,5.87,11.47,24,86.27,1.103
2013,Edmonton Oilers,48,48:58:00,19,22,7,17,45,0.469,49.11,60.88,44.65,2.17,2.58,45.7,2.16,2.8,43.52,8.13,92.06,1.002,05:45:00,77.86,14.1,84.67,7.37,0.22,97.14,5.92,0.84,87.61,16.83,97.14,1.14,06:10:00,11.94,99.79,10.69,0.81,5.87,12.12,0.71,6.8,9.48,11.11,89.1,1.002
2014,Toronto Maple Leafs,82,50:24:00,38,36,8,29,84,0.512,51.02,66.76,43.31,2.38,2.64,47.4,2.12,2.8,43.09,8.79,92.48,1.013,05:16:00,95.38,16.38,85.34,6.94,1.67,80.65,6.63,1.01,86.76,13.12,85.71,0.988,05:22:00,8.16,107.2,7.08,0.95,7.89,10.77,0.53,7.21,6.9,15.91,86.79,1.027
2014,Montreal Canadiens,82,49:02:00,46,28,8,40,100,0.61,53.33,60.61,46.8,2.3,2.22,50.83,2.33,2.46,48.62,8.28,92.74,1.01,05:46:00,95.69,15.19,86.3,6.08,1.01,85.71,6.48,0.92,87.62,12.34,90.12,1.025,06:03:00,14.02,100.19,12.28,0.73,5.2,12.24,0.96,6.4,13,7.89,89.41,0.973
2014,Washington Capitals,82,50:00:00,38,30,14,28,90,0.549,52.78,57.77,47.74,2.21,2.46,47.34,2.15,2.4,47.18,8.03,92.25,1.003,05:32:00,109.21,13.87,88.73,8.98,1.32,87.18,7.62,0.91,89.37,14.38,86.84,1.012,05:52:00,10.57,114.56,8.45,0.62,6.34,8.93,0.54,7.36,6.8,8.77,89.94,0.987
